TotalProfitPMM,DifferenceInIRAPMM
#DIV/0!,#DIV/0!
1.725653892,0
#DIV/0!,#DIV/0!
-41.35945019,6.637654603
#DIV/0!,#DIV/0!
48.24685527,-42.17301531
149.4174782,0
-27.47279533,14.87440128
16.7726834,0
45.1678413,43.50369032
27.42946844,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
83.86152838,146.3566424
48.01607483,10.27238753
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-522.9807692,-364.0269577
58.0600703,0
9.107422835,-0.957110656
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
0,#DIV/0!
-96.27,0
-0.327232764,-48.90713694
0.995512714,0
-11.58519682,17.78798074
-524.3902439,0
144.325,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-24.00637931,-84.74831714
1151,#DIV/0!
265.5345061,0
-26.2963247,15.82227925
#DIV/0!,#DIV/0!
51.55,0
13.75257732,0
-140.8743394,-3.377717617
#DIV/0!,#DIV/0!
-509.5592327,0
21.67355254,-35.05354966
4.334397788,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-0.983632223,0
0,0
-4800.75,0
-1663.387807,0
#DIV/0!,#DIV/0!
-81.95610201,-22.08533477
-139.4864985,0
#DIV/0!,#DIV/0!
-7288.474237,#DIV/0!
11.59263336,-31.88817725
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
15.59557662,0
#DIV/0!,#DIV/0!
803.0353043,0
#DIV/0!,#DIV/0!
125.2447541,#DIV/0!
1.740029542,0
53.19615385,10.45377465
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
1.865134595,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
134.3033708,#DIV/0!
1.483974359,0
-204.2183908,0
#DIV/0!,#DIV/0!
120.0029665,0
5.905555556,0
#DIV/0!,#DIV/0!
-16.92550145,-828.6180356
#DIV/0!,#DIV/0!
241,0
#DIV/0!,#DIV/0!
19.62836872,0
#DIV/0!,#DIV/0!
-498.98916,0
#DIV/0!,#DIV/0!
2.708333333,0
#DIV/0!,#DIV/0!
3.023610974,-5.497843809
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
20.13620885,0
#DIV/0!,#DIV/0!
1731,0
69.45100898,0
192.4259664,0
39.75,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
20.306791,0
9.158333333,0
#DIV/0!,#DIV/0!
10.2514584,0
-75.38626882,-38.12764977
131.8405742,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
1.364197531,0
53.75565394,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
15.16666667,0
96.31318182,0
-7.222180851,0
#DIV/0!,#DIV/0!
118.1293473,0
310.871134,0
#DIV/0!,#DIV/0!
0.591880342,0
#DIV/0!,#DIV/0!
67.64550618,#DIV/0!
#DIV/0!,#DIV/0!
-308.2597917,0
69.00294118,0
0.176507937,0
-156.037862,0
-35.41104011,-26.90127317
-135.2961667,0
18.01041931,0
35.84859876,10.22214547
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
826.0555556,#DIV/0!
-34.32889334,-49.03296796
-48.973,0
-147.7472231,16.42265032
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-56.37360061,12.03680215
-30.91275862,6.686267697
-1102.655529,#DIV/0!
-4356.735802,#DIV/0!
75.59800987,-682.6422222
136.0362393,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-8.103805467,124.7779627
-3254.083333,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
20.68517834,0
#DIV/0!,#DIV/0!
35.18265781,0
#DIV/0!,#DIV/0!
869.7732342,0
289.3807987,0
84.91511136,0
#DIV/0!,#DIV/0!
-296.2926829,0
#DIV/0!,#DIV/0!
6.479013098,0
#DIV/0!,#DIV/0!
0,#DIV/0!
-206.390625,0
#DIV/0!,#DIV/0!
75.80052617,0
332.49,0
-428.8239067,71.03557558
641.6196651,15.39892655
#DIV/0!,#DIV/0!
-35.29691167,0
-9.638571429,0
#DIV/0!,#DIV/0!
72.50335,0
26.43091733,-12.5504442
#DIV/0!,#DIV/0!
107.3597508,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
81.82993103,0
#DIV/0!,#DIV/0!
-171.2,0
-254.0569119,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
8.105640978,-5.6801318
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
452.25,0
133.2666379,0
13.35791246,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-18.71190476,0
82.08950184,-8.983573378
76.42307692,0
#DIV/0!,#DIV/0!
1.24691358,0
#DIV/0!,#DIV/0!
-25.06763332,4.874722222
89.4580377,-13.79521579
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-59.50305203,-8.94511869
81.78205128,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
17.50299074,-1.343671998
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
111.5301495,0
229.4351148,0
#DIV/0!,#DIV/0!
4.646433991,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
208.2134524,0
59.85006088,0
-56.37355104,-31.13362116
-61.91137487,90.42324069
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-7.060606061,0
17.0576232,0
#DIV/0!,#DIV/0!
-733.1868263,0
-3058.361829,0
1.163636364,0
325.2352941,0
#DIV/0!,#DIV/0!
-305.052963,-2.075185185
#DIV/0!,#DIV/0!
1.116712548,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
1.275076065,0
74.25,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-44.5036701,0
#DIV/0!,#DIV/0!
-102.633544,-67.16698877
#DIV/0!,#DIV/0!
34.97938168,-8.666536615
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-150.6556644,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
52.21750511,-22.73135835
-39.90727073,10.09777108
-97.79788839,0
-123.0314136,-248.8201609
35.46688889,0
#DIV/0!,#DIV/0!
33.25,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
90.46153407,6.644998566
340.7115385,0
#DIV/0!,#DIV/0!
39.85714627,95.38923021
-4.506531437,-22.43130772
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
168.7673925,0
#DIV/0!,#DIV/0!
97.16434109,0
0.17684944,-3.80774196
#DIV/0!,#DIV/0!
-8.153601526,0.812281441
11079.55727,#DIV/0!
#DIV/0!,#DIV/0!
81.61721144,-0.923877823
#DIV/0!,#DIV/0!
116.6592386,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
2.414907807,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-151.746276,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-89.28642857,0
11.79535626,-14.43688297
#DIV/0!,#DIV/0!
-669.1558065,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
0,0
15.41666667,0
1.112919634,0
-6.37666606,3.989327715
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
27.15445387,-29.93678766
#DIV/0!,#DIV/0!
-132.142974,-23.02537304
-13.09929863,7.04680088
38.34682636,-16.9503843
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
450.8756527,-29.75375291
#DIV/0!,#DIV/0!
-2.77189484,0
